,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0.0,0,10000.0
1,2021-11-24,10045.87,0.0,0,10000.0
2,2021-11-25,9954.13,0.0,0,10000.0
3,2021-11-26,9862.39,0.0,0,10000.0
4,2021-11-29,9954.13,0.0,0,10000.0
5,2021-11-30,10045.87,0.0,0,10000.0
6,2021-12-01,10000.0,0.0,0,10000.0
7,2021-12-02,10045.87,0.0,0,10000.0
8,2021-12-03,10000.0,0.0,0,10000.0
9,2021-12-06,9954.13,0.0,0,10000.0
10,2021-12-07,9954.13,0.0,0,10000.0
11,2021-12-08,10045.87,0.0,0,10000.0
12,2021-12-09,10045.87,0.0,0,10000.0
13,2021-12-10,10000.0,0.0,0,10000.0
14,2021-12-13,10045.87,0.0,0,10000.0
15,2021-12-14,10091.740000000002,0.0,0,10000.0
16,2021-12-15,10229.35,0.0,0,10000.0
17,2021-12-16,10275.22,0.0,0,10000.0
18,2021-12-17,11284.36,0.0,0,10000.0
19,2021-12-20,12431.11,0.0,0,10000.0
20,2021-12-21,13669.6,0.0,0,10000.0
21,2021-12-22,15045.7,0.0,0,10000.0
22,2021-12-23,14495.26,0.0,0,10000.0
23,2021-12-24,13302.64,0.0,0,10000.0
24,2021-12-27,12476.98,0.0,0,10000.0
25,2021-12-28,12064.15,0.0,0,10000.0
26,2021-12-29,12614.59,0.0,0,10000.0
27,2021-12-30,13486.12,0.0,0,10000.0
28,2021-12-31,13531.990000000002,0.0,0,10000.0
29,2022-01-04,13073.29,0.0,0,10000.0
30,2022-01-05,13669.6,0.0,0,10000.0
31,2022-01-06,13119.16,0.0,0,10000.0
32,2022-01-07,13073.29,0.0,0,10000.0
33,2022-01-10,12660.46,0.0,0,10000.0
34,2022-01-11,12752.2,0.0,0,10000.0
35,2022-01-12,12431.11,0.0,0,10000.0
36,2022-01-13,12660.46,0.0,0,10000.0
37,2022-01-14,12614.59,0.0,0,10000.0
38,2022-01-17,12660.46,0.0,0,10000.0
39,2022-01-18,13119.16,0.0,0,10000.0
40,2022-01-19,12568.72,0.0,0,10000.0
41,2022-01-20,12110.02,0.0,0,10000.0
42,2022-01-21,12247.63,0.0,0,10000.0
43,2022-01-24,11559.58,0.0,0,10000.0
44,2022-01-25,11880.67,0.0,0,10000.0
45,2022-01-26,11559.58,0.0,0,10000.0
46,2022-01-27,11697.19,0.0,0,10000.0
47,2022-01-28,11513.71,0.0,0,10000.0
48,2022-02-07,12064.15,0.0,0,10000.0
49,2022-02-08,12247.63,0.0,0,10000.0
50,2022-02-09,12155.89,0.0,0,10000.0
51,2022-02-10,11697.19,0.0,0,10000.0
52,2022-02-11,11559.58,0.0,0,10000.0
53,2022-02-14,11605.45,0.0,0,10000.0
54,2022-02-15,11651.32,0.0,0,10000.0
55,2022-02-16,12018.28,1.0,1,10000.0
56,2022-02-17,13210.9,0.0,0,10992.16
57,2022-02-18,13210.9,0.0,0,10992.16
58,2022-02-21,14036.56,2.0,2,11679.04
59,2022-02-22,13715.47,2.0,0,11679.04
60,2022-02-23,13073.29,0.0,0,11679.04
61,2022-02-24,12843.94,0.0,0,11679.04
62,2022-02-25,12476.98,0.0,0,11679.04
63,2022-02-28,12706.33,0.0,0,11679.04
64,2022-03-01,12706.33,0.0,0,11679.04
65,2022-03-02,12660.46,0.0,0,11679.04
66,2022-03-03,12431.11,0.0,0,11679.04
67,2022-03-04,12476.98,0.0,0,11679.04
68,2022-03-07,12110.02,0.0,0,11679.04
69,2022-03-08,11880.67,0.0,0,11679.04
70,2022-03-09,11972.41,0.0,0,11679.04
